Company name,Industry group,Country,Full time employees,Risk rating score,Risk rating assessment,Industry group position,Industry group positions total,Universe position,Universe positions total,Company description
"1-800-FLOWERS.COM, Inc.",Retailing,United States of America,"4,200",23.6,Medium Risk,424,507,6763,15785,"1-800-Flowers.com Inc is a provider of gifts designed to help customers express, connect and celebrate. The company's e-commerce business platform features all brands, including 1-800-Flowers.com, 1-800-Baskets.com, Cheryl's Cookies, Harry and David, PersonalizationMall.com, Shari's Berries, FruitBouquets.com, Moose Munch, The Popcorn Factory, Wolferman's Bakery, Stock Yards, and Simply Chocolate. Through the Celebrations Passport loyalty program, which provides members with free standard shipping and no service charge across its portfolio of brands, the firm strives to deepen relationships with customers. The company also operates BloomNet, an international floral and gift industry service provider; Napco, a resource for floral gifts and seasonal decor; and DesignPac Gifts, LLC."
1&1 AG,Telecommunication Services,Germany,"3,244",23.1,Medium Risk,68,234,6413,15785,"1&1 AG is a network-independent telecommunications provider in Germany. The company's products and services include DSL, mobile voice and data services. Its segments comprise Access and 5G. Access segment that derives majority revenue includes chargeable mobile and broadband access products, including the related applications (such as home networks, online storage, telephony, video on demand or IPTV)."
"10X Genomics, Inc.",Pharmaceuticals,United States of America,"1,243",22.6,Medium Risk,123,896,6059,15785,"10x Genomics Inc is a life science technology company based in the United States. Its solutions include instruments, consumables, and software for analyzing biological systems. The product portfolio of the company includes Chromium Controller, Reagent Kits, 10x Compatible Products, and Informatics Software among others. The majority of its revenue is generated from consumables."
11 Bit Studios SA,Software & Services,Poland,245,16.3,Low Risk,106,1106,2267,15785,"11 bit studios SA is a manufacturer of multi-platform video games in Poland. It develops games for a wide range of devices including personal computers, and tablet computers."
"1Life Healthcare, Inc.",Healthcare,United States of America,"3,698",22.8,Medium Risk,218,623,6210,15785,"1Life Healthcare Inc is a membership-based and technology-powered primary care platform with seamless digital health and inviting in-office care, convenient to where people work, shop, live, and click. Its vision is to provide members with better health and better care while reducing costs. Its mission is to transform healthcare for all through its human-centred, technology-powered model. The company and the One Medical entities do business under the One Medical brand."
1st Source Corp.,Banks,United States of America,"1,150",29.1,Medium Risk,699,1014,10386,15785,"1st Source Corp along with its subsidiary offers banking services. The bank provides Commercial, Agricultural, and Real Estate Loans which are given to privately owned business clients mainly located within regional market area, Consumer Services that consists of full range of consumer banking products and services, Trust and Wealth Advisory Services which includes wide range of trust, investment, agency, and custodial services for individual, corporate, and not-for-profit clients, and Specialty Finance Group Services that provide a broad range of comprehensive equipment loan and lease products addressing the financing needs of a broad array of companies."
"1stdibs.com, Inc.",Retailing,United States of America,310,26.7,Medium Risk,464,507,8833,15785,"1stdibs.com Inc is an online marketplace for connecting design lovers with the sellers and makers of vintage, antique, and contemporary furniture, home decor, jewelry, watches, art, and fashion. The company's single reportable and operating segment contains two reporting units; 1stDibs, which consists of the company's online marketplace that enables commerce between sellers and buyers; and Design Manager, which is the company's separate online platform that is used to sell a software solution to interior designers. It generates revenue primarily from fees from seller marketplace services as well as other services, including advertisements and software services."
"22nd Century Group, Inc.",Food Products,United States of America,198,35.4,High Risk,367,628,13395,15785,"22nd Century Group Inc is a United States-based biotechnology company focused on utilizing alkaloid plant technologies to improve health and wellness with reduced nicotine tobacco, and hemp/cannabis. It has two operating segments; The tobacco segment is engaged in commercializing its proprietary VLNC tobacco plants and cigarette products, which contain 95% less nicotine than conventional tobacco and cigarettes, and research cigarettes sold under the brand name SPECTRUM, and The hemp/cannabis segment is engaged in providing hemp-derived cannabinoid ingredients and API, as well as a CDMO to the consumer goods industry. It derives a majority of its revenue from the tobacco segment."
23andMe Holding Co.,Pharmaceuticals,United States of America,769,21.4,Medium Risk,102,896,5266,15785,"23andMe Holding Co is a consumer-facing healthcare technology company, primarily involved in the sale of direct-to-consumer personal genome services, or PGS, through DNA collection kits shipped via mail. The company provides users access to reports summarizing estimated genetic ancestry breakdown, phenotypic trait reports, and various health predisposition and disease carrier reports. Its segment include Consumer and Research Services and Therapeutics. The company generates maximum revenue from the Consumer and Research Services segment."
29metals Ltd.,Diversified Metals,Australia,275,41.2,Severe Risk,100,229,14700,15785,"29Metals Ltd is a copper-focused base and precious metals mining company. It has two long-life, producing assets: Golden Grove in Western Australia (copper, zinc, gold, and silver) and Capricorn Copper in Queensland (copper and silver)."
2i Rete Gas SpA,Utilities,Italy,N/A,25.2,Medium Risk,202,704,7856,15785,2i Rete Gas SpA is a distributor of natural gas intended for civil and industrial uses. The company has only one segment which is distribution of natural gas through networks. The company only operates in Italy.
"2seventy Bio, Inc.",Pharmaceuticals,United States of America,425,35.9,High Risk,763,896,13532,15785,"2seventy bio Inc is a cell and gene therapy company focused on the research, development, and commercialization of transformative treatments for cancer. The company operates in a single segment, focusing on researching, developing and commercializing potentially transformative treatments for cancer."
"2U, Inc.",Software & Services,United States of America,"3,445",26.8,Medium Risk,938,1106,8919,15785,"2U Inc provides educational technology services for nonprofit colleges and universities. It builds, delivers, and monitors educational platforms that enable online delivery of degree programs and alternative credentials such as short technical courses. The company provides cloud-based software-as-a-service platform and various technology-enabled services such as learning technology, live class application monitoring, content development, marketing, among others that help its clients to reach students globally. It is organized in two reportable business segments: Degree Program segment and Alternative Credential segment. The vast majority of revenue comes from the company's Degree Program segment, and most of the company's revenue is earned in the United States."
360 One Wam Ltd.,Diversified Financials,India,"1,052",33.3,High Risk,659,912,12628,15785,"360 One Wam Ltd formerly IIFL Wealth Management Ltd is a private wealth management firm in India. Its business is divided into two parts Wealth Management and Asset Management. The Company's main business is to provide transaction structuring relating to financial products to its clients. The company serves high net worth and ultra-high net worth individuals, affluent families, family offices and institutional clients through a range of wealth management solutions. It generates maximum revenue from the Wealth Management segment."
"360 Security Technology, Inc.",Software & Services,China,"6,481",22.1,Medium Risk,508,1106,5764,15785,"360 Security Technology Inc is an internet security company in China. It has developed the 360 security system with hundreds of millions of users Guards, 360 mobile guards, and other security products. It uses big data, cloud computing, and artificial intelligence technology, to create 360 mobile phone, 360 children smartwatch, 360 smart cameras, 360 driving recorder and 360 security router. It also provides other Internet services including search, live broadcast, games, film and television, finance, and news for its users."
